id,employee_id,department,performance_score,years_with_company,salary
69,676,Accounting,1.6,8,68899.38
70,807,Business Development,1.24,9,76758.45
71,994,Training,3.22,5,82296.01
72,74,Training,2.15,30,97074.33
73,625,Product Management,4.75,18,90047.38
74,747,Accounting,2.68,15,51696.16
75,78,Sales,4.51,22,65532.96
76,760,Engineering,4.55,27,42167.55
77,23,Services,1.79,15,96283.93
78,906,Support,4.74,22,81788.0
79,781,Human Resources,2.59,7,33606.33
80,950,Support,3.46,12,74372.6
81,206,Engineering,3.83,23,83082.67
82,747,Legal,3.86,3,33889.36
83,510,Training,4.71,10,93809.98
84,691,Business Development,1.93,26,55396.64
85,637,Engineering,1.36,30,38941.2
86,54,Human Resources,2.51,10,69856.13
87,304,Research and Development,4.87,16,60113.84
88,220,Training,3.76,23,84426.43
89,314,Human Resources,2.62,20,88408.74
90,41,Support,1.18,11,34902.89
91,787,Services,3.44,26,78634.78
92,45,Training,2.12,27,91731.52
93,579,Product Management,4.95,24,88234.58
94,529,Support,4.93,22,56542.04
95,680,Research and Development,2.3,5,53738.08
96,174,Marketing,1.22,17,33611.72
97,868,Accounting,3.94,28,60177.56
98,480,Services,4.92,23,36153.75
99,133,Research and Development,1.67,12,58778.53
100,983,Product Management,3.3,30,87849.21
101,872,Training,3.41,7,50856.41
102,988,Human Resources,1.3,14,93086.35
103,814,Product Management,2.5,0,46946.8
104,230,Sales,2.26,21,41031.29
105,278,Marketing,4.14,7,65175.35
106,350,Engineering,3.82,25,75434.79
107,617,Accounting,3.0,29,56361.22
108,501,Research and Development,2.3,8,89621.81
109,534,Engineering,1.76,8,75205.67
110,199,Business Development,4.49,23,39615.77
111,894,Legal,3.57,8,84822.05
112,700,Marketing,1.98,21,35224.14
113,54,Product Management,2.23,18,57475.0
114,245,Support,4.52,10,70676.61
115,73,Engineering,3.74,25,78859.14
116,201,Engineering,2.31,30,49095.9
117,963,Research and Development,2.28,6,86497.9
118,322,Product Management,2.83,10,85246.99
119,190,Training,4.49,1,51797.69
120,724,Support,4.73,7,84634.47
121,923,Marketing,2.36,7,40848.67
122,416,Training,4.75,7,41255.6
123,862,Product Management,2.67,2,31570.46
124,515,Services,2.88,11,39511.7
125,693,Marketing,4.93,27,86463.68
126,95,Support,1.73,7,97965.88
127,110,Business Development,4.09,2,47753.49
128,166,Business Development,2.26,2,92238.0
129,401,Services,1.22,15,64856.97
130,14,Marketing,3.93,21,78731.68
131,993,Marketing,4.96,16,52963.94
132,217,Accounting,3.09,3,57194.95
133,149,Engineering,1.67,26,50547.34
134,698,Research and Development,2.24,17,60882.36
135,323,Accounting,4.33,10,46569.18
136,190,Business Development,4.25,28,51551.8
137,999,Legal,3.76,13,51320.21
138,824,Support,1.82,18,70675.58
139,75,Business Development,3.8,29,58237.82
140,51,Training,2.49,28,90380.61
141,363,Sales,2.6,24,65563.41
142,836,Training,1.21,10,65685.3
143,859,Legal,3.81,22,32207.11
144,300,Marketing,4.91,12,77936.57
145,738,Engineering,1.57,25,33790.1
146,553,Research and Development,4.3,20,65029.23
147,24,Business Development,4.38,19,76138.52
148,684,Legal,3.08,7,73003.68
149,484,Business Development,4.84,21,41780.68
150,573,Research and Development,1.78,12,44484.43
151,921,Marketing,1.05,7,44299.36
152,80,Services,2.44,24,50499.13
153,770,Product Management,2.99,30,38930.6
154,999,Support,2.55,5,35494.43
155,57,Services,3.93,3,48354.16
156,890,Research and Development,4.04,26,92686.81
157,617,Engineering,2.75,15,32914.61
158,552,Product Management,4.33,28,98788.21
159,39,Support,3.27,11,35921.19
160,809,Support,3.91,3,45009.06
161,773,Training,2.42,24,85392.85
162,570,Product Management,2.02,24,66267.14
163,979,Human Resources,4.16,21,39853.74
164,976,Business Development,1.08,16,67267.73
165,871,Engineering,4.51,21,65479.4
166,650,Services,1.35,8,68856.65
167,849,Business Development,3.58,23,84709.0
168,81,Legal,2.39,5,93994.9
169,381,Support,1.1,25,34224.06
170,195,Legal,2.79,30,33452.58
171,857,Marketing,4.92,27,83486.5
172,291,Research and Development,3.51,21,30551.08
173,586,Product Management,3.3,26,31643.36
174,610,Engineering,3.63,25,67153.18
175,138,Product Management,3.62,29,61977.88
176,825,Legal,2.91,21,41596.74
177,203,Support,1.37,23,93946.09
178,897,Legal,3.0,17,78935.67
179,848,Services,4.67,25,31070.44
180,639,Support,2.93,19,74988.07
181,430,Engineering,4.77,2,37297.14
182,984,Sales,3.67,23,70196.15
183,256,Sales,4.66,5,55901.63
184,607,Business Development,4.08,13,40429.03
185,159,Accounting,4.34,15,42585.53
186,275,Marketing,2.49,6,68370.04
187,481,Product Management,2.92,30,60516.12
188,731,Sales,4.71,22,87050.34
189,600,Engineering,1.81,12,45179.09
190,982,Business Development,3.83,6,60577.64
191,526,Marketing,1.06,24,62159.02
192,892,Services,4.83,6,50373.81
193,541,Sales,4.45,4,74325.7
194,656,Research and Development,3.32,1,89562.93
195,805,Accounting,3.27,3,46932.11
196,428,Legal,3.77,7,47949.52
197,900,Training,3.2,20,58761.87
198,697,Engineering,2.4,24,51255.73
199,440,Marketing,4.74,20,35876.53
200,30,Research and Development,3.53,13,85823.66
201,320,Human Resources,2.3,19,55448.41
202,293,Research and Development,3.45,13,66516.65
203,100,Research and Development,4.68,12,80967.44
204,927,Accounting,1.12,14,42221.16
205,684,Product Management,4.63,22,58781.8
206,359,Accounting,4.0,30,35428.67
207,192,Marketing,4.43,29,99800.65
208,835,Training,2.01,12,59148.11
209,274,Human Resources,1.45,27,96905.32
210,519,Product Management,4.09,21,99208.2
211,444,Accounting,3.45,19,50689.72
212,70,Human Resources,3.91,8,77771.36
213,763,Research and Development,3.37,22,44306.7
214,764,Sales,2.47,2,65107.38
215,295,Business Development,3.33,16,92605.61
216,632,Accounting,3.17,17,41189.71
217,890,Research and Development,1.89,24,64777.92
218,652,Services,1.82,3,89572.39
219,889,Legal,4.61,10,34341.74
220,174,Human Resources,4.51,27,44519.59
221,304,Product Management,1.44,3,57294.82
222,243,Sales,1.11,26,48708.86
223,479,Services,4.03,19,82968.21
224,283,Marketing,2.04,16,73748.6
225,957,Legal,3.86,11,71085.89
226,220,Training,1.59,23,60497.79
227,592,Product Management,2.89,10,57553.7
228,424,Support,2.24,1,78159.11
229,933,Services,1.28,13,44460.67
230,499,Research and Development,3.8,17,63563.46
231,251,Business Development,2.24,10,63926.63
232,898,Product Management,1.98,14,88219.3
233,507,Engineering,2.64,7,95426.9
234,175,Sales,2.59,3,51264.63
235,483,Engineering,2.64,24,42197.66
236,651,Engineering,3.29,19,76700.59
237,642,Training,2.62,10,65525.92
238,458,Accounting,1.56,24,74366.2
239,794,Research and Development,3.46,15,60163.64
240,107,Legal,1.57,16,96369.04
241,703,Services,4.13,29,52434.2
242,511,Research and Development,1.37,23,86904.2
243,115,Business Development,3.2,16,80126.96
244,296,Engineering,3.48,28,37939.47
245,616,Training,1.68,2,93123.07
246,684,Marketing,2.02,9,42157.84
247,419,Marketing,4.81,28,75606.8
248,786,Human Resources,2.31,27,32451.45
249,169,Services,4.97,20,50652.16
250,642,Business Development,1.42,29,43548.77
251,30,Accounting,4.2,3,90263.94
252,26,Business Development,1.88,16,86205.49
253,412,Accounting,4.71,28,51502.21
254,65,Engineering,3.09,8,89193.43
255,639,Marketing,1.76,27,63078.41
256,6,Legal,3.72,6,99292.79
257,680,Services,3.6,30,74876.8
258,853,Marketing,3.76,8,96269.66
259,269,Sales,3.81,18,39839.44
260,565,Marketing,3.85,29,98868.42
261,822,Legal,3.04,11,35008.02
262,556,Research and Development,3.99,9,55411.73
263,538,Services,4.69,8,56022.34
264,315,Product Management,2.16,20,47376.33
265,7,Training,3.07,18,66609.0
266,509,Legal,3.56,18,90709.42
267,688,Services,1.97,3,84287.32
268,567,Product Management,2.66,28,53084.6
269,389,Human Resources,2.71,18,49390.38
270,139,Legal,2.29,28,37479.73
271,926,Legal,3.05,13,89530.9
272,17,Legal,4.97,23,61549.92
273,146,Product Management,3.84,9,33002.46
274,447,Sales,2.01,0,79830.41
275,943,Accounting,1.37,26,53209.35
276,536,Sales,4.85,18,83639.12
277,181,Accounting,3.55,10,38170.35
278,809,Sales,4.46,23,83495.35
279,813,Product Management,4.1,15,97798.94
280,297,Accounting,2.35,3,43392.65
281,795,Engineering,3.34,5,41267.04
282,44,Business Development,2.53,27,88819.02
283,810,Training,2.72,15,32742.4
284,511,Research and Development,2.1,21,40859.27
285,759,Services,1.04,26,93310.2
286,963,Training,1.6,3,73953.61
287,866,Research and Development,2.38,9,36346.84
288,211,Legal,1.89,11,34179.05
289,425,Accounting,2.27,26,44039.13
290,532,Accounting,1.07,20,45122.52
291,831,Marketing,3.06,21,43020.6
292,556,Services,2.52,29,52956.6
293,492,Marketing,3.09,20,78821.98
294,216,Accounting,4.54,3,90709.51
295,978,Marketing,1.27,28,40062.63
296,922,Business Development,2.04,29,41944.41
297,860,Sales,4.33,26,35137.23
298,736,Accounting,1.63,23,40186.63
299,83,Marketing,3.84,15,44898.51
300,664,Accounting,3.08,8,76380.58
301,826,Engineering,4.49,18,58674.32
302,339,Support,2.87,14,97273.8
303,502,Services,4.35,30,58814.32
304,856,Marketing,3.87,14,66557.21
305,881,Product Management,3.95,16,33076.5
306,203,Business Development,4.89,16,79357.15
307,923,Human Resources,2.23,8,39026.97
308,600,Support,3.53,27,86595.27
309,175,Engineering,4.24,17,85661.34
310,128,Marketing,1.19,13,40986.84
311,2,Sales,1.84,20,55934.4
312,788,Services,2.2,14,99321.89
313,361,Support,3.66,23,61848.88
314,630,Services,4.43,16,52794.19
315,102,Sales,4.38,14,91977.03
316,497,Support,4.55,17,51115.54
317,586,Marketing,2.64,16,67708.4
318,31,Human Resources,4.63,27,58924.14
319,574,Engineering,1.27,2,65820.08
320,402,Sales,3.63,19,87129.16
321,548,Engineering,4.01,10,92716.8
322,101,Training,2.24,14,65253.93
323,933,Business Development,4.53,16,89455.78
324,33,Product Management,1.67,10,97936.39
325,765,Support,2.19,24,47029.37
326,519,Human Resources,1.98,29,55924.7
327,310,Accounting,3.65,17,45838.24
328,830,Accounting,2.51,24,94258.91
329,537,Legal,3.34,28,76097.36
330,376,Research and Development,1.5,0,98003.94
331,10,Training,4.47,7,36432.16
332,171,Services,2.82,14,40222.19
333,100,Business Development,4.51,24,78143.43
334,304,Business Development,3.23,3,51007.18
335,755,Training,3.56,20,89179.54
336,888,Sales,3.23,21,39746.77
337,592,Legal,3.78,1,63302.77
338,659,Human Resources,4.73,10,64007.09
339,190,Engineering,3.54,9,74310.67
340,794,Accounting,4.92,12,71202.11
341,64,Services,4.6,21,71259.35
342,634,Legal,2.2,14,31319.78
343,438,Sales,1.75,12,61066.17
344,187,Accounting,1.8,1,42977.56
345,876,Support,2.46,5,65886.08
346,114,Business Development,2.06,0,45154.39
347,201,Marketing,2.13,3,47529.05
348,722,Marketing,4.83,5,45497.53
349,372,Marketing,3.57,14,37722.39
350,370,Services,2.22,7,60180.46
351,374,Support,4.91,25,36391.52
352,3,Marketing,1.32,0,99109.14
353,647,Research and Development,4.08,11,50598.37
354,635,Accounting,1.24,18,91161.13
355,287,Research and Development,1.32,1,68625.81
356,425,Engineering,3.49,8,57255.8
357,188,Product Management,4.93,27,74410.9
358,927,Product Management,3.65,20,47191.34
359,529,Services,2.06,28,85014.69
360,980,Services,3.6,17,65991.15
361,28,Accounting,4.83,22,95976.81
362,33,Business Development,2.18,19,56104.38
363,475,Sales,4.44,17,75608.44
364,976,Support,4.61,10,57659.99
365,256,Marketing,1.46,0,68194.84
366,258,Research and Development,2.15,30,35684.65
367,364,Services,4.43,22,83032.29
368,779,Research and Development,3.85,24,71152.48
369,114,Research and Development,4.69,30,31462.29
370,514,Human Resources,1.81,20,53876.21
371,114,Training,2.84,4,51901.27
372,438,Training,1.79,13,79581.82
373,327,Research and Development,3.29,9,47190.31
374,417,Business Development,1.24,25,37416.63
375,567,Engineering,1.19,1,44862.47
376,937,Human Resources,2.73,14,43305.91
377,252,Accounting,3.26,8,87061.41
378,284,Services,1.44,10,88074.78
379,631,Engineering,2.64,12,77035.26
380,11,Product Management,1.86,20,49532.76
381,65,Accounting,3.28,21,54300.39
382,684,Business Development,1.37,25,82887.03
383,498,Human Resources,4.54,12,74418.53
384,151,Research and Development,2.57,22,90322.85
385,783,Human Resources,2.16,14,84847.71
386,88,Product Management,2.87,6,79624.13
387,776,Services,4.51,29,45157.81
388,338,Product Management,4.29,15,41508.74
389,883,Research and Development,1.95,25,40590.81
390,194,Services,3.36,21,30400.24
391,271,Sales,2.87,20,31036.97
392,863,Marketing,3.78,28,73079.44
393,81,Product Management,3.04,12,68965.99
394,637,Support,2.67,9,60550.22
395,703,Legal,3.06,8,75693.62
396,470,Legal,1.97,19,58621.45
397,936,Support,4.13,21,87003.44
398,884,Engineering,3.72,7,99991.64
399,798,Engineering,1.64,17,81185.17
400,276,Accounting,3.04,26,88358.03
401,667,Legal,1.27,5,46645.91
402,508,Marketing,1.0,10,91654.88
403,695,Human Resources,1.19,15,33732.12
404,941,Business Development,1.45,21,79388.82
405,484,Accounting,3.16,27,45307.55
406,102,Business Development,1.74,22,71602.7
407,939,Training,1.76,6,54499.0
408,349,Human Resources,1.34,0,40008.96
409,149,Accounting,4.72,12,62779.38
410,444,Marketing,2.59,21,43118.86
411,313,Sales,1.22,12,59691.76
412,861,Accounting,2.44,24,48370.65
413,911,Support,2.18,21,90720.39
414,309,Marketing,4.66,26,74869.05
415,520,Sales,4.91,22,98353.29
416,501,Human Resources,2.11,17,86577.55
417,489,Legal,2.32,25,48407.57
418,680,Legal,3.71,26,79441.65
419,627,Marketing,3.16,26,60695.06
420,651,Marketing,4.73,30,48088.98
421,393,Sales,3.21,9,56276.78
422,263,Accounting,4.78,25,66646.99
423,737,Research and Development,2.74,5,91491.32
424,81,Business Development,1.94,17,63048.22
425,21,Business Development,4.94,0,74734.52
426,906,Support,3.72,29,50940.32
427,455,Legal,3.62,28,56778.98
428,390,Business Development,2.82,6,52190.99
429,843,Marketing,3.32,27,80884.05
430,316,Accounting,3.44,3,41065.16
431,678,Legal,3.03,30,32964.82
432,347,Research and Development,3.14,19,83593.69
433,138,Product Management,2.14,24,80385.72
434,938,Training,2.26,4,47596.16
435,162,Services,2.4,12,95323.23
436,246,Business Development,1.08,17,54787.32
437,524,Services,1.95,22,81108.9
438,608,Accounting,1.92,19,60496.89
439,636,Product Management,3.58,9,36226.07
440,189,Marketing,4.11,0,46418.56
441,76,Sales,2.84,1,90952.74
442,611,Business Development,2.77,8,54341.37
443,118,Business Development,4.36,1,68795.04
444,271,Accounting,4.88,20,87573.81
445,747,Engineering,2.56,11,61036.01
446,59,Engineering,2.07,9,77682.06
447,906,Product Management,2.99,20,39944.33
448,430,Engineering,2.28,11,30697.05
449,810,Marketing,4.44,2,98349.73
450,847,Marketing,2.09,11,31935.04
451,773,Business Development,3.21,23,92548.88
452,325,Business Development,3.73,6,98894.95
453,88,Research and Development,3.12,10,89490.26
454,365,Marketing,2.35,30,54962.29
455,495,Research and Development,1.32,17,36780.93
456,558,Training,4.32,0,83332.07
457,701,Human Resources,1.82,15,97201.39
458,453,Product Management,1.81,13,79803.4
459,955,Services,2.54,22,66355.74
460,532,Training,1.31,28,79735.75
461,951,Marketing,1.92,4,84502.23
462,328,Services,2.9,21,78074.9
463,285,Services,4.54,5,68849.89
464,979,Sales,4.54,11,34690.28
465,205,Sales,1.28,4,86233.83
466,47,Business Development,3.69,27,39209.5
467,746,Research and Development,4.41,29,59999.42
468,211,Accounting,2.47,6,60677.43
469,891,Services,2.69,0,49243.48
470,206,Human Resources,3.54,13,64214.1
471,476,Product Management,1.45,26,73677.54
472,749,Legal,4.43,9,52284.73
473,853,Research and Development,4.4,8,36389.88
474,661,Support,4.42,24,43888.92
475,572,Legal,2.74,29,37437.91
476,705,Training,3.62,21,43375.21
477,637,Sales,1.37,21,46455.79
478,62,Support,2.07,2,90758.0
479,977,Research and Development,1.62,13,87129.23
480,883,Business Development,3.79,2,52561.55
481,509,Research and Development,3.42,22,77547.09
482,496,Engineering,1.36,13,52580.29
483,486,Accounting,2.52,18,83122.42
484,58,Business Development,3.56,30,43929.04
485,9,Research and Development,3.13,23,89326.75
486,85,Product Management,2.84,20,40755.15
487,919,Training,4.9,3,77194.18
488,78,Business Development,1.22,11,65452.17
489,309,Business Development,1.07,20,94618.21
490,112,Accounting,1.42,5,31790.18
491,849,Engineering,1.31,28,87063.65
492,398,Marketing,1.5,21,81835.68
493,888,Marketing,4.78,19,54898.34
494,186,Support,3.69,12,39293.06
495,896,Legal,2.46,9,45737.56
496,82,Support,1.81,13,42854.66
497,506,Training,1.42,22,57774.65
498,298,Support,2.56,1,39124.65
499,969,Sales,2.14,4,52893.13
500,911,Human Resources,1.11,17,79953.74
501,484,Sales,2.29,12,90656.44
502,493,Product Management,4.72,19,30795.84
503,573,Business Development,2.26,27,44919.08
504,760,Support,2.06,5,35120.76
505,887,Product Management,4.33,3,59526.36
506,443,Product Management,1.86,30,31162.91
507,621,Business Development,4.92,4,86643.92
508,387,Engineering,5.0,17,62740.65
509,966,Research and Development,1.49,22,81075.95
510,734,Marketing,1.49,0,75677.83
511,447,Engineering,1.23,2,70170.29
512,38,Human Resources,4.19,7,86875.86
513,470,Accounting,4.66,3,77190.93
514,785,Accounting,4.33,8,52812.55
515,873,Training,2.44,14,33591.66
516,690,Research and Development,1.33,18,31877.42
517,941,Engineering,4.28,2,37768.47
518,422,Accounting,2.41,6,81762.89
519,959,Engineering,2.75,6,46761.22
520,37,Training,4.49,9,96042.85
521,930,Accounting,3.79,3,51677.84
522,526,Human Resources,1.64,7,35246.21
523,437,Product Management,2.22,27,94141.45
524,365,Legal,1.01,16,87045.11
525,649,Accounting,4.32,20,93084.79
526,180,Engineering,1.73,16,87267.57
527,530,Marketing,3.83,0,47781.63
528,59,Marketing,4.88,15,65747.26
529,551,Legal,1.39,1,79321.2
530,854,Product Management,2.35,11,62885.92
531,444,Business Development,2.29,11,44922.49
532,740,Services,3.04,13,46115.02
533,164,Support,2.98,1,64603.35
534,606,Human Resources,4.35,20,49539.61
535,667,Accounting,3.16,2,74867.82
536,265,Business Development,2.74,7,32483.08
537,332,Marketing,2.13,18,90512.93
538,430,Services,4.04,5,96503.85
539,538,Marketing,1.86,17,73512.77
540,541,Business Development,2.22,13,62883.33
541,99,Legal,2.58,11,76515.56
542,24,Sales,1.56,14,40598.77
543,365,Business Development,2.46,9,58672.95
544,273,Services,3.02,23,77506.69
545,695,Business Development,3.48,19,52065.31
546,315,Support,2.88,24,67817.38
547,786,Marketing,4.3,17,92464.04
548,349,Services,4.6,3,31353.68
549,758,Engineering,4.15,27,97409.1
550,53,Research and Development,3.78,22,73210.1
551,49,Business Development,1.51,27,30008.09
552,972,Services,3.04,4,66142.77
553,952,Marketing,1.03,6,37096.63
554,160,Services,1.69,30,92948.54
555,526,Support,1.72,23,88009.34
556,857,Business Development,2.13,2,82279.24
557,518,Services,3.48,27,64464.33
558,598,Human Resources,4.53,21,55806.66
559,950,Business Development,3.74,4,92874.61
560,939,Engineering,2.48,27,35053.4
561,191,Legal,4.88,19,35221.25
562,628,Accounting,2.84,20,89288.3
563,946,Business Development,2.15,27,73863.15
564,351,Product Management,4.76,23,47245.5
565,205,Product Management,2.23,20,66864.96
566,229,Human Resources,4.18,18,72474.16
567,866,Services,4.59,11,81986.58
568,557,Marketing,3.73,3,49109.45
569,736,Support,3.53,21,89263.44
570,513,Business Development,2.83,1,73918.56
571,433,Human Resources,1.45,16,31638.77
572,143,Research and Development,2.34,4,97913.42
573,951,Training,3.32,5,59183.78
574,900,Marketing,4.68,15,65316.25
575,998,Legal,3.94,26,60997.05
576,662,Accounting,4.97,18,52567.8
577,284,Business Development,4.47,5,73619.12
578,543,Business Development,2.17,24,76967.64
579,331,Research and Development,2.53,1,89327.85
580,350,Business Development,4.19,3,77841.76
581,330,Human Resources,3.4,25,33642.83
582,661,Human Resources,1.5,0,30763.08
583,367,Legal,1.25,29,96048.66
584,342,Human Resources,4.41,6,57469.63
585,577,Engineering,3.11,7,54185.46
586,70,Sales,3.76,17,94996.72
587,737,Training,4.89,26,33136.05
588,282,Human Resources,2.04,30,38974.77
589,300,Accounting,2.81,9,74293.07
590,200,Training,1.24,7,90705.19
591,968,Legal,1.2,24,61430.53
592,408,Accounting,4.7,8,82350.92
593,352,Business Development,2.63,20,55193.77
594,122,Marketing,2.1,15,63619.3
595,312,Sales,3.25,4,30868.28
596,532,Marketing,2.66,23,88842.04
597,904,Human Resources,3.58,10,62350.25
598,435,Research and Development,1.47,14,86556.87
599,906,Business Development,4.42,28,89538.67
600,208,Marketing,4.46,18,54163.2
601,979,Human Resources,4.81,21,64437.69
602,360,Services,4.25,23,63595.86
603,39,Accounting,2.88,15,56658.39
604,638,Services,2.99,4,43455.37
605,497,Research and Development,4.55,9,71200.38
606,730,Services,4.88,10,64767.85
607,114,Business Development,3.26,27,40292.68
608,923,Sales,3.57,27,69969.63
609,876,Training,3.23,24,39821.35
610,526,Services,4.38,21,83862.87
611,323,Support,3.44,10,65175.45
612,284,Research and Development,1.62,26,33568.28
613,612,Legal,4.75,29,96478.11
614,953,Services,2.13,24,71400.24
615,725,Product Management,4.93,4,60464.09
616,344,Human Resources,3.66,29,72138.92
617,665,Engineering,1.99,28,39020.12
618,893,Human Resources,1.74,21,38370.23
619,310,Training,2.99,16,55013.31
620,781,Research and Development,4.85,12,76289.78
621,684,Product Management,3.03,7,64664.47
622,381,Product Management,2.91,13,86976.96
623,892,Research and Development,4.41,7,84019.17
624,101,Engineering,1.92,23,39856.94
625,916,Sales,1.88,13,77970.63
626,4,Legal,3.18,23,71958.59
627,738,Marketing,3.59,26,55057.99
628,812,Training,4.53,24,66053.35
629,570,Legal,3.85,9,30652.24
630,515,Sales,4.31,24,41417.99
631,301,Support,3.46,9,54907.82
632,284,Services,4.51,4,84316.47
633,837,Marketing,3.09,21,39656.17
634,834,Business Development,2.18,4,37125.26
635,950,Accounting,4.85,10,81994.89
636,873,Support,3.59,5,67652.36
637,850,Research and Development,3.98,4,97454.15
638,622,Accounting,2.28,19,59611.06
639,299,Product Management,2.65,22,56523.97
640,175,Human Resources,1.15,18,74182.85
641,854,Sales,1.19,18,31569.95
642,126,Business Development,3.8,27,87714.82
643,531,Research and Development,4.05,30,57179.5
644,669,Training,1.27,1,74617.93
645,398,Support,3.96,22,63337.46
646,347,Business Development,3.45,4,53319.69
647,885,Business Development,3.88,9,30800.91
648,204,Support,3.47,5,33094.09
649,94,Research and Development,4.3,25,62279.45
650,32,Support,2.57,20,49503.3
651,805,Marketing,1.72,18,81990.66
652,655,Research and Development,1.03,14,70569.39
653,744,Human Resources,3.01,3,68911.74
654,623,Human Resources,1.98,14,99066.81
655,360,Research and Development,4.18,8,40234.86
656,634,Services,3.74,11,81219.07
657,836,Accounting,4.08,1,87220.14
658,458,Research and Development,3.67,14,65496.41
659,784,Engineering,2.38,17,88510.11
660,741,Support,1.02,15,57709.76
661,690,Business Development,3.86,2,85147.87
662,12,Human Resources,1.93,15,90448.08
663,258,Research and Development,1.46,21,80986.65
664,675,Support,3.1,29,93609.52
665,296,Legal,3.53,4,48815.69
666,323,Sales,1.1,12,36999.33
667,336,Human Resources,2.15,29,97845.6
668,211,Accounting,3.05,18,89889.13
669,488,Engineering,3.08,28,91025.1
670,434,Support,3.23,16,46473.91
671,479,Training,4.91,0,86324.0
672,182,Human Resources,2.01,20,46414.8
673,785,Sales,2.35,23,65050.45
674,130,Legal,3.2,23,56944.86
675,198,Product Management,4.22,25,77374.98
676,626,Research and Development,4.75,7,44786.26
677,511,Engineering,3.65,25,55708.46
678,603,Human Resources,2.18,15,86054.56
679,827,Sales,2.23,29,84217.74
680,683,Human Resources,4.45,7,40405.62
681,197,Support,2.96,9,31301.16
682,968,Training,4.84,3,72444.11
683,739,Legal,4.08,17,61181.15
684,272,Services,1.23,25,65009.13
685,406,Sales,1.14,30,57111.11
686,706,Services,2.59,19,57992.16
687,43,Marketing,2.1,9,99389.93
688,117,Human Resources,2.29,18,37277.37
689,86,Marketing,1.74,20,57628.57
690,907,Training,4.65,2,59103.09
691,468,Research and Development,2.27,12,52292.75
692,107,Marketing,4.51,10,43042.82
693,751,Support,2.54,13,30393.88
694,759,Sales,2.38,2,40333.1
695,455,Accounting,1.64,23,60112.88
696,613,Support,2.32,2,32264.08
697,897,Human Resources,1.57,0,91392.38
698,956,Training,3.43,27,52200.03
699,813,Training,3.1,4,40455.82
700,528,Research and Development,2.53,0,60110.13
701,65,Services,4.32,26,74266.29
702,362,Human Resources,3.77,26,67182.93
703,330,Research and Development,1.85,25,97721.12
704,644,Product Management,4.84,0,74209.44
705,722,Sales,2.02,10,99922.16
706,278,Marketing,4.59,20,75598.88
707,824,Services,3.97,3,73810.06
708,882,Research and Development,3.03,15,70265.6
709,182,Support,4.89,22,81062.4
710,278,Business Development,4.21,24,48125.26
711,673,Research and Development,4.53,24,60006.41
712,793,Support,3.09,9,51711.15
713,100,Services,3.61,23,73913.98
714,557,Training,2.62,1,63161.32
